Cat,Abyssinian,Average,False,True,False,False,Carnivore,cat/abyssinian.jpg
Cat,Aegean,Average,False,True,True,False,Carnivore,cat/aegean.jfif
Cat,American Curl,Average,False,True,False,False,Carnivore,cat/american_curl.jpg
Cat,American Bobtail,Large,False,True,False,False,Carnivore,cat/american_bobtail.jfif
Cat,American Shorthair,Large,False,True,False,False,Carnivore,cat/american_shorthair.jpg
Cat,American Wirehair,Large,False,True,False,False,Carnivore,cat/american_wirehair.jpg
Cat,Aphrodite Giant,Large,False,True,True,False,Carnivore,cat/aphrodite_giant.jpg
Cat,Arabian Mau,Average,False,True,True,False,Carnivore,cat/arabian_mau.jpg
Cat,Australian Mist,Average,False,True,True,False,Carnivore,cat/australian_mist.jpg
Cat,Asian,Average,False,True,False,False,Carnivore,cat/asian.jfif
